,Posição,Time,Pontos
0,1,FC Porto,84
1,2,Benfica,63
2,3,Sporting CP,48
3,4,Braga,46
4,5,Guimaraes,43
5,6,Paços de Ferreira,41
6,7,CD Nacional de Madeira,39
7,8,Rio Ave,38
8,9,Maritimo,35
9,10,Uniao Leiria,35
10,11,Olhanense,34
11,12,Vitoria Setubal,34
12,13,Beira Mar,33
13,14,Academica de Coimbra,30
14,15,Portimonense,25
15,16,Naval 1º Maio,23
