,Posição,Time,Pontos
0,1,FC Porto,78
1,2,Benfica,77
2,3,Paços de Ferreira,54
3,4,Braga,52
4,5,Estoril,45
5,6,Rio Ave,42
6,7,Sporting CP,42
7,8,CD Nacional de Madeira,40
8,9,Guimaraes,40
9,10,Maritimo,38
10,11,Academica de Coimbra,28
11,12,Vitoria Setubal,26
12,13,Gil Vicente,25
13,14,Olhanense,25
14,15,Moreirense,24
15,16,Beira Mar,23
