,Posição,Time,Pontos
0,1,FC Porto,75
1,2,Benfica,69
2,3,Braga,62
3,4,Sporting CP,59
4,5,Maritimo,50
5,6,Guimaraes,45
6,7,CD Nacional de Madeira,44
7,8,Olhanense,39
8,9,Gil Vicente,34
9,10,Paços de Ferreira,31
10,11,Vitoria Setubal,30
11,12,Beira Mar,29
12,13,Academica de Coimbra,29
13,14,Rio Ave,28
14,15,Feirense,24
15,16,Uniao Leiria,19
