,Posição,Time,Pontos
0,1,Benfica,74
1,2,Sporting CP,67
2,3,FC Porto,61
3,4,Estoril,54
4,5,CD Nacional de Madeira,45
5,6,Maritimo,41
6,7,Vitoria Setubal,39
7,8,Academica de Coimbra,37
8,9,Braga,37
9,10,Guimaraes,35
10,11,Rio Ave,32
11,12,Arouca,31
12,13,Gil Vicente,31
13,14,Belenenses,28
14,15,Paços de Ferreira,24
15,16,Olhanense,24
