,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Juventus,95,38,30,5
1,2,Napoli,91,38,28,7
2,3,AS Roma,77,38,23,8
3,4,Internazionale,72,38,20,12
4,5,Lázio,72,38,21,9
5,6,AC Milan,64,38,18,10
6,7,Atalanta,60,38,16,12
7,8,Fiorentina,57,38,16,9
8,9,Torino,54,38,13,15
9,10,Sampdoria,54,38,16,6
10,11,Sassuolo,43,38,11,10
11,12,Genoa,41,38,11,8
12,13,Chievo Verona,40,38,10,10
13,14,Udinese,40,38,12,4
14,15,Bolonha,39,38,11,6
15,16,Cagliari,39,38,11,6
16,17,SPAL,38,38,8,14
17,18,Crotone,35,38,9,8
18,19,Hellas Verona,25,38,7,4
19,20,Benevento,21,38,6,3
