,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Juventus,84,38,23,15
1,2,AC Milan,80,38,24,8
2,3,Udinese,64,38,18,10
3,4,Lázio,62,38,18,8
4,5,Napoli,61,38,16,13
5,6,Internazionale,58,38,17,7
6,7,AS Roma,56,38,16,8
7,8,Parma,56,38,15,11
8,9,Bolonha,51,38,13,12
9,10,Chievo Verona,49,38,12,13
10,11,Catania,48,38,11,15
11,12,Atalanta,46,38,13,13
12,13,Fiorentina,46,38,11,13
13,14,Siena,44,38,11,11
14,15,Cagliari,43,38,10,13
15,16,Palermo,43,38,11,10
16,17,Genoa,42,38,11,9
17,18,Lecce,36,38,8,12
18,19,Novara,32,38,7,11
19,20,Cesena,22,38,4,10
