,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Juventus,102,38,33,3
1,2,AS Roma,85,38,26,7
2,3,Napoli,78,38,23,9
3,4,Fiorentina,65,38,19,8
4,5,Internazionale,60,38,15,15
5,6,Parma,58,38,15,13
6,7,Torino,57,38,15,12
7,8,AC Milan,57,38,16,9
8,9,Lázio,56,38,15,11
9,10,Hellas Verona,54,38,16,6
10,11,Atalanta,50,38,15,5
11,12,Sampdoria,45,38,12,9
12,13,Udinese,44,38,12,8
13,14,Genoa,44,38,11,11
14,15,Cagliari,39,38,9,12
15,16,Chievo Verona,36,38,10,6
16,17,Sassuolo,34,38,9,7
17,18,Catania,32,38,8,8
18,19,Bolonha,29,38,5,14
19,20,Livorno,25,38,6,7
