,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Internazionale,85,38,25,10
1,2,AS Roma,82,38,24,10
2,3,Juventus,72,38,20,12
3,4,Fiorentina,66,38,19,9
4,5,AC Milan,64,38,18,10
5,6,Sampdoria,60,38,17,9
6,7,Udinese,57,38,16,9
7,8,Napoli,50,38,14,8
8,9,Atalanta,48,38,12,12
9,10,Genoa,48,38,13,9
10,11,Palermo,47,38,12,11
11,12,Lázio,46,38,11,13
12,13,Siena,44,38,9,17
13,14,Cagliari,42,38,11,9
14,15,Torino,40,38,8,16
15,16,Reggina,40,38,9,13
16,17,Catania,37,38,8,13
17,18,Empoli,36,38,9,9
18,19,Parma,34,38,7,13
19,20,Livorno,30,38,6,12
