,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Internazionale,97,38,30,7
1,2,AS Roma,75,38,22,9
2,3,Lázio,62,38,18,11
3,4,AC Milan,61,38,19,12
4,5,Fiorentina,58,38,21,10
5,6,Palermo,58,38,16,10
6,7,Empoli,54,38,14,12
7,8,Atalanta,50,38,12,14
8,9,Sampdoria,49,38,13,10
9,10,Udinese,46,38,12,10
10,11,Livorno,43,38,10,13
11,12,Parma,42,38,10,12
12,13,Catania,41,38,10,11
13,14,Reggina,40,38,12,15
14,15,Siena,40,38,9,14
15,16,Cagliari,40,38,9,13
16,17,Torino,40,38,10,10
17,18,Chievo Verona,39,38,9,12
18,19,Ascoli,27,38,5,12
19,20,Messina,26,38,5,11
