,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Juventus,87,38,26,9
1,2,AS Roma,70,38,19,13
2,3,Lázio,69,38,21,6
3,4,Fiorentina,64,38,18,10
4,5,Napoli,63,38,18,9
5,6,Genoa,59,38,16,11
6,7,Sampdoria,56,38,13,17
7,8,Internazionale,55,38,14,13
8,9,Torino,54,38,14,12
9,10,AC Milan,52,38,13,13
10,11,Palermo,49,38,12,13
11,12,Sassuolo,49,38,12,13
12,13,Hellas Verona,46,38,11,13
13,14,Chievo Verona,43,38,10,13
14,15,Empoli,42,38,8,18
15,16,Udinese,41,38,10,11
16,17,Atalanta,37,38,7,16
17,18,Cagliari,34,38,8,10
18,19,Cesena,24,38,4,12
19,20,Parma,19,38,6,8
