,Posição,Time,Pontos
0,1,AC Milan,82
1,2,AS Roma,71
2,3,Juventus,69
3,4,Internazionale,59
4,5,Parma,58
5,6,Lázio,56
6,7,Udinese,50
7,8,Sampdoria,46
8,9,Chievo Verona,44
9,10,Lecce,41
10,11,Brescia,40
11,12,Bolonha,39
12,13,Reggina,34
13,14,Siena,34
14,15,Perugia,32
15,16,Modena,30
16,17,Empoli,30
17,18,Ancona,13
